country,platform,category_url,month_latest,month_prev,spu_count_prev,spu_count_latest,spu_ratio_vs_prev,status
MY,LAZ,https://www.lazada.com.my/shop-cat-food,2025-12,2025-11,440.0,440,100.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-cat-litter,2025-12,2025-11,359.0,360,100.28%,normal
MY,LAZ,https://www.lazada.com.my/shop-coffee-machines,2025-12,2025-11,302.0,440,145.7%,normal
MY,LAZ,https://www.lazada.com.my/shop-diapers-1/,2025-12,2025-11,400.0,334,83.5%,normal
MY,LAZ,https://www.lazada.com.my/shop-dog-food,2025-12,2025-11,356.0,399,112.08%,normal
MY,LAZ,https://www.lazada.com.my/shop-followon-milk-formula,2025-12,2025-11,109.0,190,174.31%,normal
MY,LAZ,https://www.lazada.com.my/shop-green-black-&-classic-tea,2025-12,2025-11,320.0,395,123.44%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-coffeecapsules,2025-12,2025-11,320.0,399,124.69%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-groundcoffee,2025-12,2025-11,320.0,480,150.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-instantcoffee,2025-12,2025-11,301.0,318,105.65%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-readytodrinkcoffee,2025-12,2025-11,320.0,434,135.62%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-uht-milk-milk-powder-condensed-milk,2025-12,2025-11,161.0,238,147.83%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-chocolate,2025-12,2025-11,320.0,360,112.5%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-mints,2025-12,2025-11,360.0,418,116.11%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-sweets-chewycandy,2025-12,2025-11,310.0,430,138.71%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-sweets-gummysweets,2025-12,2025-11,320.0,352,110.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-dairychilled-freshmilk,2025-12,2025-11,255.0,360,141.18%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-foodstaplescookingessentials-cannedfood,2025-12,2025-11,320.0,360,112.5%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-frozen-convenience-foods-ready-to-eat-meals,2025-12,2025-11,320.0,302,94.38%,normal
MY,LAZ,https://www.lazada.com.my/shop-growth-milk-formula,2025-12,2025-11,320.0,440,137.5%,normal
MY,LAZ,https://www.lazada.com.my/shop-hb-sanitary-napkins/,2025-12,2025-11,400.0,432,108.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-infant-milk-formula-2,2025-12,2025-11,168.0,281,167.26%,normal
MY,LAZ,https://www.lazada.com.my/shop-maternal-milk-formula-2,2025-12,2025-11,80.0,93,116.25%,normal
MY,LAZ,https://www.lazada.com.my/shop-milk-formula-tailored-nutrition,2025-12,2025-11,252.0,256,101.59%,normal
MY,LAZ,https://www.lazada.com.my/shop-senior-health/?spm=a2o4k.pdp_revamp.breadcrumb.2.63081a9aARLUNN,2025-12,2025-11,400.0,400,100.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-sugar,2025-12,2025-11,303.0,360,118.81%,normal
MY,LAZ,https://www.lazada.com.my/shop-toddler-milk,2025-12,2025-11,320.0,400,125.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-uht-milk-ready-to-drink,2025-12,2025-11,319.0,359,112.54%,normal
MY,LAZ,https://www.lazada.com.my/shop-well-being,2025-12,2025-11,320.0,400,125.0%,normal
MY,SHP,https://shopee.com.my/Adult-Diapers-cat.11000168.11000272.11000279,2025-12,2025-11,300.0,449,149.67%,normal
MY,SHP,https://shopee.com.my/Canned-Packed-Food-cat.11000003.11000035,2025-12,2025-11,300.0,441,147.0%,normal
MY,SHP,https://shopee.com.my/Cat-Food-Treats-cat.11000003.11000125.11000127,2025-12,2025-11,300.0,437,145.67%,normal
MY,SHP,https://shopee.com.my/Chocolate-Malt-cat.11000003.11000091.11000092,2025-12,2025-11,300.0,345,115.0%,normal
MY,SHP,https://shopee.com.my/Chocolate-cat.11000003.11000010.11000012,2025-12,2025-11,300.0,411,137.0%,normal
MY,SHP,https://shopee.com.my/Coffee-Machines-and-Accessories-cat.11000824.11000861.11000864,2025-12,2025-11,300.0,351,117.0%,normal
MY,SHP,https://shopee.com.my/Coffee-Tea-cat.11000003.11000069,2025-12,2025-11,300.0,453,151.0%,normal
MY,SHP,https://shopee.com.my/Disposable-Diapers-cat.11000345.11000397.11000402,2025-12,2025-11,300.0,339,113.0%,normal
MY,SHP,https://shopee.com.my/Dog-Food-Treats-cat.11000003.11000125.11000126,2025-12,2025-11,300.0,439,146.33%,normal
MY,SHP,https://shopee.com.my/Formula-Food-cat.11000345.11000422,2025-12,2025-11,300.0,423,141.0%,normal
MY,SHP,https://shopee.com.my/Fresh-Frozen-Food-cat.11000003.11000099,2025-12,2025-11,300.0,387,129.0%,normal
MY,SHP,https://shopee.com.my/Infant-Milk-(0-6-months)-cat.11000345.11000422.11000425,2025-12,2025-11,297.0,308,103.7%,normal
MY,SHP,https://shopee.com.my/Maternal-Milk-cat.11000345.11000422.11000424,2025-12,2025-11,300.0,371,123.67%,normal
MY,SHP,https://shopee.com.my/Pet-Toilets-Litters-Pads-cat.11000003.11000125.11000138,2025-12,2025-11,300.0,324,108.0%,normal
MY,SHP,https://shopee.com.my/Sanitary-Napkins-Panty-Liners-cat.11000168.11000272.11000280,2025-12,2025-11,300.0,458,152.67%,normal
MY,SHP,https://shopee.com.my/Sweets-Candies-cat.11000003.11000010.11000011,2025-12,2025-11,300.0,443,147.67%,normal
MY,SHP,https://shopee.com.my/Well-being-cat.11000168.11000338.11000342,2025-12,2025-11,300.0,436,145.33%,normal
MY,SHP,https://shopee.com.my/Wipes-Refills-cat.11000345.11000385.11000393,2025-12,2025-11,300.0,443,147.67%,normal
MY,SHP,https://shopee.com.my/Yogurt-Drinks-cat.11000003.11000079.11000090,2025-12,2025-11,300.0,393,131.0%,normal
PH,LAZ,ANTACIDS,2025-12,2025-11,0.0,320,-,new-in-latest
