country,platform,month_latest,month_prev,seller_used_id,seller_name,final_revenue,final_revenue_prev,delta_final_revenue,growth_rate_revenue,final_quantity,final_quantity_prev,delta_final_quantity,growth_rate_quantity,abnormal_flag,abnormal_type,risk_level
PH,SHP,2025-11,2025-10,PH.SHP.683783717,,1537.0,837.0,700.0,83.63%,29.0,3.0,26.0,866.67%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.68812230,,0.0,275.0,-275.0,-100.0%,0.0,5.0,-5.0,-100.0%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.695507725,,38116.0,823.0,37293.0,4531.35%,349.0,17.0,332.0,1952.94%,True,spike-out-trend,high
PH,SHP,2025-11,2025-10,PH.SHP.696865898,,19294.0,370.0,18924.0,5114.59%,295.0,5.0,290.0,5800.0%,True,spike-out-trend,high
PH,SHP,2025-11,2025-10,PH.SHP.698875751,,156651.0,121045.0,35606.0,29.42%,39.0,160.0,-121.0,-75.62%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.69914365,,13430.0,316.0,13114.0,4150.0%,170.0,4.0,166.0,4150.0%,True,spike-out-trend,high
PH,SHP,2025-11,2025-10,PH.SHP.707135999,,768.0,0.0,768.0,-,6.0,0.0,6.0,-,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.711187897,,1900.0,6930.0,-5030.0,-72.58%,10.0,9.0,1.0,11.11%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.711423571,,247.0,2413.0,-2166.0,-89.76%,13.0,127.0,-114.0,-89.76%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.71155283,,1497474.0,990213.0,507261.0,51.23%,3119.0,1683.0,1436.0,85.32%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.711617942,,358002.0,23097.0,334905.0,1449.99%,3146.0,155.0,2991.0,1929.68%,True,source-switch,medium
PH,SHP,2025-11,2025-10,PH.SHP.712285259,,125205.0,7446.0,117759.0,1581.51%,288.0,51.0,237.0,464.71%,True,spike-out-trend,high
PH,SHP,2025-11,2025-10,PH.SHP.712374481,,824.0,560.0,264.0,47.14%,5.0,4.0,1.0,25.0%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.712499074,,9360.0,0.0,9360.0,-,208.0,0.0,208.0,-,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.716599674,,0.0,534.0,-534.0,-100.0%,0.0,3.0,-3.0,-100.0%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.71802176,,21403468.0,20096936.0,1306532.0,6.5%,10315.0,10526.0,-211.0,-2.0%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.718624609,,99.0,7215.0,-7116.0,-98.63%,1.0,39.0,-38.0,-97.44%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.72384212,,2640.0,5239.0,-2599.0,-49.61%,2.0,31.0,-29.0,-93.55%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.727679291,,11338747.0,7759854.0,3578893.0,46.12%,44308.0,25694.0,18614.0,72.44%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.727889430,,2400.0,80152.0,-77752.0,-97.01%,8.0,193.0,-185.0,-95.85%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.727898521,,280458.0,117334.0,163124.0,139.03%,410.0,578.0,-168.0,-29.07%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.727958943,,282.0,3015.0,-2733.0,-90.65%,2.0,15.0,-13.0,-86.67%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.727964153,,22815.0,14101.0,8714.0,61.8%,135.0,239.0,-104.0,-43.51%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.727976456,,5548.0,0.0,5548.0,-,14.0,0.0,14.0,-,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.73395170,,110093641.0,107118322.0,2975319.0,2.78%,181691.0,173244.0,8447.0,4.88%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.73414401,,1534.0,2334.0,-800.0,-34.28%,26.0,112.0,-86.0,-76.79%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.736299455,,1000.0,900.0,100.0,11.11%,20.0,18.0,2.0,11.11%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.737526405,,17420.0,86.0,17334.0,20155.81%,268.0,1.0,267.0,26700.0%,True,base-effect,low
PH,SHP,2025-11,2025-10,PH.SHP.740499183,,828.0,0.0,828.0,-,23.0,0.0,23.0,-,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.742980518,,0.0,29.0,-29.0,-100.0%,0.0,1.0,-1.0,-100.0%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.743764300,,3899160.0,3537466.0,361694.0,10.22%,7165.0,5845.0,1320.0,22.58%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.74434408,,3514.0,7266.0,-3752.0,-51.64%,14.0,94.0,-80.0,-85.11%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.74598016,,488329.0,18697.0,469632.0,2511.8%,3264.0,1008.0,2256.0,223.81%,True,spike-out-trend,high
PH,SHP,2025-11,2025-10,PH.SHP.74645600,,7959.0,2292.0,5667.0,247.25%,21.0,6.0,15.0,250.0%,True,spike-out-trend,high
PH,SHP,2025-11,2025-10,PH.SHP.750502200,,0.0,1434.0,-1434.0,-100.0%,0.0,3.0,-3.0,-100.0%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.750513127,,0.0,126276.0,-126276.0,-100.0%,0.0,68.0,-68.0,-100.0%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.750514874,,3024.0,2120.0,904.0,42.64%,3.0,4.0,-1.0,-25.0%,False,none,none
PH,SHP,2025-11,2025-10,PH.SHP.750681210,,64.0,490.0,-426.0,-86.94%,4.0,204.0,-200.0,-98.04%,False,none,none
