country,platform,category_url,month_latest,lookback_months,months_observed,median_spu,latest_spu,trend_ratio,trend_status
TH,LAZ,https://www.lazada.co.th/shop-uht-milk-ready-to-drink,2025-12,3,2.0,329.5,400.0,121.4%,normal
TH,LAZ,https://www.lazada.co.th/shop-wipes,2025-12,3,1.0,336.0,320.0,95.24%,insufficient-history
TH,SHP,https://shopee.co.th/Adult-Diapers-cat.11044942.11045039.11045297,2025-12,3,1.0,300.0,468.0,156.0%,insufficient-history
TH,SHP,https://shopee.co.th/Baby-milk-and-food-for-infant-cat.11044960.11045223,2025-12,3,2.0,300.0,387.0,129.0%,normal
TH,SHP,https://shopee.co.th/Baby-milk-and-food-for-kids-above-1-year-cat.11044960.11045222,2025-12,3,2.0,300.0,451.0,150.33%,normal
TH,SHP,https://shopee.co.th/Canned-Food-cat.11044943.11045050.11045350,2025-12,3,2.0,300.0,375.0,125.0%,normal
TH,SHP,https://shopee.co.th/Cat-Treats-cat.11044947.11045086.11045478,2025-12,3,2.0,300.0,455.0,151.67%,normal
TH,SHP,https://shopee.co.th/Chocolate-Drinks-cat.11044943.11045054.11045384,2025-12,3,2.0,300.0,402.0,134.0%,normal
TH,SHP,https://shopee.co.th/Chocolate-cat.11044943.11045055.11045395,2025-12,3,2.0,300.0,404.0,134.67%,normal
TH,SHP,https://shopee.co.th/Coffee-Machines-Accessories-cat.11044955.11045170.11045749,2025-12,3,2.0,300.0,391.0,130.33%,normal
TH,SHP,https://shopee.co.th/Coffee-cat.11044943.11045054.11045385,2025-12,3,2.0,300.0,444.0,148.0%,normal
TH,SHP,https://shopee.co.th/Dairy-Eggs-cat.11044943.11045051,2025-12,3,2.0,300.0,428.0,142.67%,normal
TH,SHP,https://shopee.co.th/Diapers-Wipes-cat.11044960.11045218,2025-12,3,2.0,300.0,402.0,134.0%,normal
TH,SHP,https://shopee.co.th/Dog-Food-cat.11044947.11045086.11045471,2025-12,3,2.0,300.0,452.0,150.67%,normal
TH,SHP,https://shopee.co.th/Fresh-Frozen-Food-cat.11044943.11045047,2025-12,3,2.0,300.0,409.0,136.33%,normal
TH,SHP,https://shopee.co.th/Health-Wellness-cat.11044942,2025-12,3,2.0,300.0,393.0,131.0%,normal
TH,SHP,https://shopee.co.th/Litter-Toilet-cat.11044947.11045088,2025-12,3,2.0,300.0,347.0,115.67%,normal
TH,SHP,https://shopee.co.th/Maternity-Formula-cat.11044960.11045228.11046168,2025-12,3,2.0,128.5,225.0,175.1%,normal
TH,SHP,https://shopee.co.th/Snacks-cat.11044943.11045055,2025-12,3,2.0,300.0,419.0,139.67%,normal
TH,SHP,https://shopee.co.th/Specialty-Milk-Formula-cat.11044960.11045224,2025-12,3,1.0,282.0,0.0,0.0%,insufficient-history
TH,SHP,https://shopee.co.th/Sweets-Candy-cat.11044943.11045055.11045389,2025-12,3,2.0,300.0,443.0,147.67%,normal
TH,SHP,https://shopee.co.th/Tape-Pants-Disposable-Diapers-cat.11044960.11045218.11046127,2025-12,3,2.0,300.0,407.0,135.67%,normal
TH,SHP,https://shopee.co.th/Tea-Tea-Bags-cat.11044943.11045054.11045381,2025-12,3,2.0,300.0,457.0,152.33%,normal
TH,SHP,https://shopee.co.th/Wet-Wipes-cat.11044960.11045218.11046128,2025-12,3,1.0,300.0,440.0,146.67%,insufficient-history
TH,SHP,https://shopee.co.th/Women's-Hygiene-cat.11044959.11045210.11046082,2025-12,3,2.0,369.0,458.0,124.12%,normal
TH,SHP,https://shopee.co.th/Yogurt-Cultured-Milk-cat.11044943.11045051.11045356,2025-12,3,2.0,300.0,395.0,131.67%,normal
TW,SHP,https://shopee.tw/Imported-Snacks-cat.11040483.11042031,2025-12,3,0.0,0.0,361.0,-,insufficient-history
TW,SHP,https://shopee.tw/Pets-cat.11040647,2025-12,3,0.0,0.0,392.0,-,insufficient-history
VN,LAZ,https://www.lazada.vn/bach-hoa-online-sua-dac,2025-12,3,2.0,320.5,360.0,112.32%,normal
VN,LAZ,https://www.lazada.vn/ca-phe,2025-12,3,2.0,318.5,398.0,124.96%,normal
VN,LAZ,https://www.lazada.vn/cat-ve-sinh-meo,2025-12,3,2.0,335.5,364.0,108.49%,normal
VN,LAZ,https://www.lazada.vn/cham-soc-cho-nguoi-cao-tuoi/?spm=a2o4n.pdp_revamp.breadcrumb.2.46124fe0gXXZbS,2025-12,3,1.0,381.0,440.0,115.49%,insufficient-history
VN,LAZ,https://www.lazada.vn/cham-soc-suc-khoe,2025-12,3,2.0,315.0,400.0,126.98%,normal
VN,LAZ,https://www.lazada.vn/khan-uot/,2025-12,3,2.0,340.5,400.0,117.47%,normal
VN,LAZ,https://www.lazada.vn/mua-may-pha-cafe,2025-12,3,2.0,320.0,434.0,135.62%,normal
VN,LAZ,https://www.lazada.vn/san-pham-sua-cho-me,2025-12,3,2.0,280.0,400.0,142.86%,normal
VN,LAZ,https://www.lazada.vn/shop-bang-ve-sinh/?,2025-12,3,2.0,167.5,182.0,108.66%,normal
VN,LAZ,https://www.lazada.vn/shop-ca-phe-pha-san,2025-12,3,2.0,312.0,400.0,128.21%,normal
VN,LAZ,https://www.lazada.vn/shop-ca-phe-uong-lien,2025-12,3,2.0,318.5,400.0,125.59%,normal
VN,LAZ,https://www.lazada.vn/shop-ca-phe-vien-nen,2025-12,3,2.0,320.0,360.0,112.5%,normal
VN,LAZ,https://www.lazada.vn/shop-ca-phe-xay,2025-12,3,2.0,320.0,400.0,125.0%,normal
VN,LAZ,https://www.lazada.vn/shop-do-hop,2025-12,3,2.0,311.0,440.0,141.48%,normal
VN,LAZ,https://www.lazada.vn/shop-green-black-&-classic-tea,2025-12,3,2.0,321.5,360.0,111.98%,normal
VN,LAZ,https://www.lazada.vn/shop-hot-chocolate,2025-12,3,2.0,319.0,399.0,125.08%,normal
VN,LAZ,https://www.lazada.vn/shop-keo-bac-ha,2025-12,3,2.0,372.5,399.0,107.11%,normal
VN,LAZ,https://www.lazada.vn/shop-keo-chewy,2025-12,3,2.0,340.0,400.0,117.65%,normal
VN,LAZ,https://www.lazada.vn/shop-keo-deo,2025-12,3,2.0,326.0,360.0,110.43%,normal
VN,LAZ,https://www.lazada.vn/shop-mon-an-nau-san,2025-12,3,2.0,320.0,400.0,125.0%,normal
VN,LAZ,https://www.lazada.vn/shop-so-co-la,2025-12,3,2.0,320.0,322.0,100.63%,normal
VN,LAZ,https://www.lazada.vn/shop-sua-tuoi,2025-12,3,2.0,319.5,398.0,124.57%,normal
VN,LAZ,https://www.lazada.vn/shop-sugar,2025-12,3,2.0,315.0,313.0,99.37%,normal
VN,LAZ,https://www.lazada.vn/shop-uht-milk-ready-to-drink,2025-12,3,2.0,320.5,400.0,124.8%,normal
VN,LAZ,https://www.lazada.vn/sua-bot-cho-be,2025-12,3,2.0,312.5,360.0,115.2%,normal
VN,LAZ,https://www.lazada.vn/sua-cho-be-so-sinh,2025-12,3,2.0,296.5,312.0,105.23%,normal
VN,LAZ,https://www.lazada.vn/sua-cho-tre-6-12-thang-tuoi,2025-12,3,2.0,166.0,154.0,92.77%,normal
VN,LAZ,https://www.lazada.vn/sua-cho-tre-tap-di-tu-1-3-tuoi,2025-12,3,2.0,289.0,298.0,103.11%,normal
VN,LAZ,https://www.lazada.vn/sua-cho-tre-tu-1-3-tuoi,2025-12,3,2.0,306.0,360.0,117.65%,normal
VN,LAZ,https://www.lazada.vn/ta-giay/,2025-12,3,2.0,355.0,440.0,123.94%,normal
VN,LAZ,https://www.lazada.vn/thuc-an-cho-be,2025-12,3,2.0,309.5,400.0,129.24%,normal
VN,LAZ,https://www.lazada.vn/thuc-an-cho-cho,2025-12,3,2.0,353.5,400.0,113.15%,normal
VN,LAZ,https://www.lazada.vn/thuc-an-cho-meo,2025-12,3,2.0,319.5,407.0,127.39%,normal
VN,SHP,https://shopee.vn/Adult-Diapers-Incontinence-cat.11036345.11036370,2025-12,3,1.0,357.0,455.0,127.45%,insufficient-history
VN,SHP,https://shopee.vn/Baby-Food-cat.11036194.11036248,2025-12,3,2.0,300.0,272.0,90.67%,normal
VN,SHP,https://shopee.vn/Baby-Vitamins-Supplements-cat.11036194.11036253.11036254,2025-12,3,2.0,300.0,416.0,138.67%,normal
VN,SHP,https://shopee.vn/Canned-Food-cat.11036525.11036544.11036549,2025-12,3,2.0,300.0,416.0,138.67%,normal
VN,SHP,https://shopee.vn/Cat-Treats-cat.11036478.11036479.11036483,2025-12,3,2.0,300.0,368.0,122.67%,normal
VN,SHP,https://shopee.vn/Chocolate-Drinks-cat.11036525.11036576.11036579,2025-12,3,2.0,300.0,416.0,138.67%,normal
VN,SHP,https://shopee.vn/Chocolate-cat.11036525.11036532.11036534,2025-12,3,2.0,300.0,410.0,136.67%,normal
VN,SHP,https://shopee.vn/Coffee-cat.11036525.11036576.11036577,2025-12,3,2.0,300.0,329.0,109.67%,normal
VN,SHP,https://shopee.vn/Dairy-Eggs-cat.11036525.11036591,2025-12,3,2.0,300.0,428.0,142.67%,normal
VN,SHP,https://shopee.vn/Disposable-Diapers-cat.11036194.11036260.11036263,2025-12,3,2.0,300.0,160.0,53.33%,abnormal-drop
VN,SHP,https://shopee.vn/Dog-Treats-cat.11036478.11036479.11036481,2025-12,3,2.0,300.0,433.0,144.33%,normal
VN,SHP,https://shopee.vn/Fresh-Frozen-Food-cat.11036525.11036601,2025-12,3,2.0,300.0,458.0,152.67%,normal
VN,SHP,https://shopee.vn/Litter-Toilet-cat.11036478.11036498,2025-12,3,2.0,300.0,442.0,147.33%,normal
VN,SHP,https://shopee.vn/M%C3%A1y-pha-c%C3%A0-ph%C3%AA-cat.11036971.11036972.11036988,2025-12,3,2.0,300.0,430.0,143.33%,normal
VN,SHP,https://shopee.vn/Maternity-Milk-cat.11036194.11036217.11036218,2025-12,3,2.0,227.5,371.0,163.08%,normal
VN,SHP,https://shopee.vn/Milk-24-months-and-ups-cat.11036194.11059299,2025-12,3,2.0,300.0,374.0,124.67%,normal
VN,SHP,https://shopee.vn/Milk-Formula-0-24-months-cat.11036194.11059300,2025-12,3,2.0,300.0,422.0,140.67%,normal
VN,SHP,https://shopee.vn/Milk-cat.11036525.11036591.11036592?facet=101593&page=0&sortBy=sales,2025-12,3,1.0,300.0,440.0,146.67%,insufficient-history
VN,SHP,https://shopee.vn/Sanitary-Napkins-Panty-Liners-cat.11036279.11111647.11111657,2025-12,3,2.0,300.0,431.0,143.67%,normal
VN,SHP,https://shopee.vn/Snacks-cat.11036525.11036532,2025-12,3,2.0,300.0,33.0,11.0%,abnormal-drop
VN,SHP,https://shopee.vn/Sweets-Candy-cat.11036525.11036532.11036533,2025-12,3,2.0,300.0,438.0,146.0%,normal
VN,SHP,https://shopee.vn/Tea-Tea-Bags-cat.11036525.11036576.11036578,2025-12,3,2.0,300.0,397.0,132.33%,normal
VN,SHP,https://shopee.vn/Wipes-cat.11036194.11036222.11036230,2025-12,3,2.0,300.0,201.0,67.0%,abnormal-drop
VN,SHP,https://shopee.vn/Yogurt-Cultured-Milk-cat.11036525.11036591.11036593,2025-12,3,2.0,300.0,423.0,141.0%,normal
