country,platform,seller_used_id,seller_url,seller_name
VN,LAZ,VN.LAZ.1000318177,https://www.lazada.vn/shop/shop-nhat-247-hcm,SHOP NHẬT 247 - HCM_VN
VN,LAZ,VN.LAZ.200168853047,https://www.lazada.vn/shop/inochi-official-shop1630772443,INOCHI OFFICIAL SHOP._VN
VN,LAZ,VN.LAZ.1000212869,https://www.lazada.vn/shop/la-pomme,La Pomme_VN
VN,LAZ,VN.LAZ.200168832142,https://www.lazada.vn/shop/bcbl-vn,BCBL.vn_VN
VN,LAZ,VN.LAZ.200227689032,https://www.lazada.vn/shop/gigahome,GIGAHOME_VN
VN,LAZ,VN.LAZ.200731216077,https://www.lazada.vn/shop/p-n-in-vietnam,P&N in Vietnam_VN
VN,LAZ,VN.LAZ.200164260059,https://www.lazada.vn/shop/i-love-dad,I LOVE DAD_VN
PH,LAZ,PH.LAZ.2673,https://www.lazada.com.ph/shop/nursery-van,Nursery Van_PH
PH,LAZ,PH.LAZ.1000008429,https://www.lazada.com.ph/shop/happy-noz,Happy Noz_PH
PH,LAZ,PH.LAZ.12345,https://www.lazada.com.ph/shop/bewell-corporation,Bewell Corporation_PH
PH,LAZ,PH.LAZ.20124,https://www.lazada.com.ph/shop/health-fusion,Health Fusion_PH
PH,LAZ,PH.LAZ.500733504565,https://www.lazada.com.ph/shop/ddrops-official-store,Ddrops Official Store_PH
PH,LAZ,PH.LAZ.500254968138,https://www.lazada.com.ph/shop/kmy,KMY_PH
PH,LAZ,PH.LAZ.6437,https://www.lazada.com.ph/shop/vpharma,VPharma_PH
PH,LAZ,PH.LAZ.500168001127,https://www.lazada.com.ph/shop/cuddly-baby-diapers,Cuddly Baby Diapers_PH
PH,LAZ,PH.LAZ.500162385179,https://www.lazada.com.ph/shop/organic-central,Organic Central_PH
PH,LAZ,PH.LAZ.500430016228,https://www.lazada.com.ph/shop/niko-philippines-store,NIKO Philippines Store_PH
PH,LAZ,PH.LAZ.500171055153,https://www.lazada.com.ph/shop/suregetz-ph,Suregetz PH_PH
PH,LAZ,PH.LAZ.501546576724,https://www.lazada.com.ph/shop/global-selected-brands,Global Selected Brands_PH
VN,LAZ,VN.LAZ.200179290053,https://www.lazada.vn/shop/enter-vietnam,ENTER VIETNAM_VN
VN,LAZ,VN.LAZ.200244456989,https://www.lazada.vn/shop/drhao,ENTERR_VN
VN,LAZ,VN.LAZ.200341408438,https://www.lazada.vn/shop/hanaleaf,Hanaleaf_VN
VN,LAZ,VN.LAZ.200182680203,https://www.lazada.vn/shop/orgo,Orgo_VN
VN,LAZ,VN.LAZ.200162478540,https://www.lazada.vn/shop/vemoda-nature-care,Vemoda Nature Care_VN
VN,LAZ,VN.LAZ.200228943412,https://www.lazada.vn/shop/modeco-gia-dung-tien-ich-4-0,Modeco - Gia Dụng Tiện Ích 4.0_VN
VN,LAZ,VN.LAZ.100200012,https://www.lazada.vn/shop/dien-quang,Điện Quang_VN
VN,LAZ,VN.LAZ.200508720386,https://www.lazada.vn/shop/hoptri,Hoptri_VN
VN,LAZ,VN.LAZ.200208918229,https://www.lazada.vn/shop/kinh-bac-man-tu-bung-thong-minh,Kinh Bắc - Màn Tự Bung Thông Minh_VN
VN,LAZ,VN.LAZ.200158548820,https://www.lazada.vn/shop/envu-store,Envu Store_VN
VN,LAZ,VN.LAZ.200919056074,https://www.lazada.vn/shop/hat-giong-rang-dong-rado,Hạt giống Rạng Đông - Rado_VN
VN,LAZ,VN.LAZ.200167038246,https://www.lazada.vn/shop/tavana-mall,TAVANA MALL_VN
VN,LAZ,VN.LAZ.200167230076,https://www.lazada.vn/shop/saikonavi,SAIKONAVI_VN
VN,LAZ,VN.LAZ.200514992693,https://www.lazada.vn/shop/comet,Comet_VN
VN,LAZ,VN.LAZ.200176653370,https://www.lazada.vn/shop/zodan-corporation,ZODAN Corporation_VN
VN,LAZ,VN.LAZ.200166948667,https://www.lazada.vn/shop/nong-san-vang-store,Nông Sản Vàng Store_VN
PH,LAZ,PH.LAZ.501712976048,https://www.lazada.com.ph/shop/vbell-mall,Vbell mall_PH
PH,LAZ,PH.LAZ.500754560406,https://www.lazada.com.ph/shop/ottai-health-global,Ottai Health Global_PH
PH,LAZ,PH.LAZ.500177595123,https://www.lazada.com.ph/shop/surgitech,Surgitech_PH
PH,LAZ,PH.LAZ.10614,https://www.lazada.com.ph/shop/contec,CONTEC_PH
PH,LAZ,PH.LAZ.500166513218,https://www.lazada.com.ph/shop/bmc-store,BMC Store_PH
PH,LAZ,PH.LAZ.100000416,https://www.lazada.com.ph/shop/cofoe,Cofoe_PH
PH,LAZ,PH.LAZ.500161305257,https://www.lazada.com.ph/shop/splash-personal-care,Splash Personal Care_PH
PH,LAZ,PH.LAZ.500177595097,https://www.lazada.com.ph/shop/medsgo,MedsGo_PH
PH,LAZ,PH.LAZ.500544832146,https://www.lazada.com.ph/shop/smile-manila,Smile Manila_PH
PH,LAZ,PH.LAZ.500171505083,https://www.lazada.com.ph/shop/orex,OREX_PH
MY,LAZ,MY.LAZ.300435696708,https://www.lazada.com.my/shop/o2ogjcuc,RaaB Family Malaysia_MY
MY,LAZ,MY.LAZ.300544736346,https://www.lazada.com.my/shop/magical-playtime-mall,MAGICAL PLAYTIME MALL_MY
MY,LAZ,MY.LAZ.300139824468,https://www.lazada.com.my/shop/ezviz,Ezviz_MY
MY,LAZ,MY.LAZ.300788112022,https://www.lazada.com.my/shop/eudemon,EUDEMON_MY
MY,LAZ,MY.LAZ.1000177665,https://www.lazada.com.my/shop/comfy-baby,Comfy Baby_MY
MY,LAZ,MY.LAZ.300543760367,https://www.lazada.com.my/shop/tsukibaky-my,TSUKIBAKY.MY_MY
MY,LAZ,MY.LAZ.300808272271,https://www.lazada.com.my/shop/usbettas,usbettas_MY
MY,LAZ,MY.LAZ.300812384651,https://www.lazada.com.my/shop/oneye,Oneye_MY
MY,LAZ,MY.LAZ.300544560314,https://www.lazada.com.my/shop/vimmnb,Vimmnb_MY
MY,LAZ,MY.LAZ.1000269564,https://www.lazada.com.my/shop/orzbow,Orzbow_MY
MY,LAZ,MY.LAZ.300150498128,https://www.lazada.com.my/shop/joie-baby-malaysia,Joie Baby Malaysia_MY
MY,LAZ,MY.LAZ.300801840183,https://www.lazada.com.my/shop/libodun,Libodun_MY
MY,LAZ,MY.LAZ.300435696639,https://www.lazada.com.my/shop/aibedila-store,AIBEDILA Store_MY
MY,LAZ,MY.LAZ.300390144131,https://www.lazada.com.my/shop/eufy-by-anker,Eufy by Anker_MY
MY,LAZ,MY.LAZ.300812752707,https://www.lazada.com.my/shop/mloong-mother-and-baby,mloong mother and baby_MY
PH,LAZ,PH.LAZ.100038960,https://www.lazada.com.ph/shop/singlemaltph,SingleMalt.PH_PH
